,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
375,Codrington,0,AU,1562653969,43,-28.95,153.24,71.6,4.85
376,Ambon,0,FR,1562653970,72,47.55,-2.56,66.0,6.93
377,San Jose,40,HN,1562653904,88,14.25,-87.96,75.2,8.05
378,Zamania,100,IN,1562653973,94,25.42,83.56,79.6,7.38
379,Cervo,0,BR,1562653974,79,-22.19,-46.24,47.02,5.32
380,Tromso,0,NO,1562653975,67,69.65,18.96,60.8,11.41
381,Arman,14,RU,1562653926,55,59.7,150.17,65.74,7.38
382,Providencia,100,CO,1562653978,85,1.24,-77.6,49.9,6.08
383,Whitehorse,75,CA,1562653815,30,60.72,-135.06,71.6,9.17
384,Safakulevo,7,RU,1562653981,66,54.99,62.54,64.48,8.43
385,Grindavik,75,IS,1562653982,81,63.84,-22.43,53.01,17.22
386,Kavaratti,40,IN,1562653983,79,10.57,72.64,87.8,13.87
387,Nuuk,0,GL,1562653985,81,64.17,-51.74,48.2,8.05
388,Formosa do Rio Preto,3,BR,1562653986,83,-11.04,-45.19,62.5,3.02
389,Russellville,20,US,1562653925,100,35.28,-93.13,77.0,1.79
390,Lyambir,100,RU,1562653989,88,54.28,45.12,64.84,12.82
391,Dois Corregos,0,BR,1562653810,93,-22.37,-48.38,53.6,11.41
392,Guerrero Negro,1,MX,1562653991,85,27.97,-114.04,65.02,14.12
393,Goma,75,CD,1562653992,77,-1.67,29.23,64.4,6.93
394,Calamar,88,CO,1562653994,99,1.96,-72.65,65.2,3.02
395,Morogoro,1,TZ,1562653995,73,-6.82,37.67,70.24,1.5
396,Acapulco,40,MX,1562653996,78,16.86,-99.88,82.4,4.7
397,Dyersburg,1,US,1562653998,83,36.03,-89.39,80.01,3.36
398,Sylvania,40,US,1562654000,100,41.72,-83.71,64.99,2.26
399,Mount Gambier,75,AU,1562653723,82,-37.83,140.78,57.2,10.29
400,Khartoum,0,SD,1562654002,43,15.59,32.54,89.6,11.41
401,Cascais,75,PT,1562653862,88,38.7,-9.42,68.0,8.05
402,Touba,19,SN,1562654005,72,14.86,-15.88,75.82,8.25
403,Tomatlan,77,MX,1562654006,80,19.93,-105.25,78.7,2.82
404,Pokhara,100,NP,1562654008,85,28.21,83.99,62.5,3.2
405,Tallahassee,20,US,1562653728,100,30.44,-84.28,77.0,4.43
406,Tiznit,0,MA,1562654010,90,29.7,-9.73,65.92,10.33
407,Kruisfontein,62,ZA,1562654011,91,-34.0,24.73,55.12,10.98
408,Sambava,4,MG,1562654013,66,-14.27,50.17,77.44,3.06
409,San Felipe,0,CL,1562653844,99,-32.75,-70.73,46.99,2.98
410,Waingapu,29,ID,1562654015,61,-9.65,120.26,79.78,14.63
411,Jieshi,99,CN,1562654017,80,22.82,115.83,87.01,5.01
412,Orchard Homes,1,US,1562654018,81,46.86,-114.05,55.99,9.17
413,Manaia,60,BR,1562654019,81,-5.02,-39.08,70.06,5.79
414,Salvador,90,BR,1562653992,73,-12.98,-38.48,77.0,13.87
415,Pisco,75,PE,1562654022,87,-13.71,-76.2,60.01,3.36
416,Bourail,53,NC,1562654023,69,-21.57,165.5,61.78,5.5
417,Piacabucu,55,BR,1562654024,89,-10.41,-36.43,73.84,11.95
418,Tefe,8,BR,1562654026,85,-3.35,-64.71,70.6,1.32
419,Kirakira,100,SB,1562654028,83,-10.46,161.92,79.06,19.46
420,Atambua,0,ID,1562654029,71,-9.11,124.89,78.7,12.17
421,Kharitonovo,99,RU,1562654031,80,61.4,47.5,58.18,6.71
422,Cortez,1,US,1562654032,37,37.35,-108.58,53.6,9.17
423,Abay,0,KZ,1562654033,24,49.63,72.87,82.4,8.95
424,Reims,0,FR,1562654035,67,49.26,4.03,57.2,6.96
425,Maltahohe,0,NA,1562654036,46,-24.83,16.98,41.08,12.3
426,Sao Felix do Xingu,81,BR,1562654038,98,-6.64,-51.99,68.62,1.41
427,Dongsheng,91,CN,1562654039,69,29.72,112.52,81.76,11.23
428,Byron Bay,20,AU,1562653878,64,-28.65,153.62,71.6,5.82
429,Aguimes,20,ES,1562654041,73,27.91,-15.45,69.8,19.46
430,Montepuez,72,MZ,1562654043,57,-13.13,39.0,69.88,7.9
431,Ancud,90,CL,1562654044,100,-41.87,-73.83,50.0,16.11
432,Zhezkazgan,0,KZ,1562654046,20,47.8,67.71,86.0,4.47
433,Baghdad,0,IQ,1562653836,36,33.3,44.38,95.0,13.87
434,Sri Aman,75,MY,1562654048,53,1.24,111.46,95.0,3.36
435,Killybegs,100,IE,1562654050,92,54.63,-8.45,57.99,4.0
436,Okhotsk,55,RU,1562654051,65,59.36,143.24,60.16,16.64
437,Borovichi,65,RU,1562654052,71,58.39,33.91,59.26,3.6
438,Whitianga,83,NZ,1562654053,90,-36.83,175.7,48.99,6.42
439,Muncar,89,ID,1562654055,67,-8.43,114.34,77.98,7.0
440,Ust-Kishert,54,RU,1562654056,70,57.36,57.24,61.6,5.75
441,Charyshskoye,0,RU,1562654058,60,51.4,83.56,75.1,3.33
442,Khanpur,0,PK,1562654059,35,28.65,70.66,102.46,18.41
443,Eirunepe,9,BR,1562654060,86,-6.66,-69.87,68.44,0.51
444,Bathsheba,40,BB,1562654035,78,13.22,-59.52,82.4,18.34
445,Puerto del Rosario,20,ES,1562654063,77,28.5,-13.86,68.0,11.41
446,Tuatapere,91,NZ,1562654064,92,-46.13,167.69,48.99,8.99
447,Gaspe,20,CA,1562654066,71,48.83,-64.48,57.2,5.82
448,Mackay,90,CA,1562654067,100,53.65,-115.58,53.6,4.7
449,Sheffield,75,GB,1562653813,93,53.38,-1.47,57.99,2.24
450,La Libertad,0,PE,1562654069,16,-16.38,-71.56,53.6,11.41
451,Sisimiut,97,GL,1562654071,83,66.94,-53.67,40.9,22.32
452,Sterling,1,US,1562654072,100,39.0,-77.4,66.99,0.49
453,Boyuibe,0,BO,1562654073,87,-20.43,-63.28,49.72,2.8
454,Dongfeng,78,CN,1562654075,49,42.67,125.53,83.92,4.32
455,Tiksi,97,RU,1562654076,73,71.64,128.87,58.72,4.5
456,Nyanguge,6,TZ,1562654078,60,-2.54,33.2,74.38,7.4
457,Kattivakkam,40,IN,1562654079,37,13.22,80.32,100.4,9.17
458,Maniitsoq,2,GL,1562654080,72,65.42,-52.9,46.48,10.51
459,Jambusar,40,IN,1562654082,70,22.05,72.81,89.6,10.29
460,Ilo,100,PE,1562654083,85,-17.65,-71.34,61.06,6.93
461,Imbituba,0,BR,1562654084,93,-28.24,-48.67,53.6,6.93
462,Makakilo City,75,US,1562654052,88,21.35,-158.09,82.4,3.36
463,Praia da Vitoria,20,PT,1562654087,88,38.73,-27.07,63.0,7.27
464,Bougouni,58,ML,1562654089,90,11.42,-7.49,73.12,7.36
465,Remontnoye,40,RU,1562654090,83,46.56,43.66,69.8,13.42
466,Khani,75,GE,1562654092,78,41.96,42.96,78.8,10.29
467,Talara,0,PE,1562654093,89,-4.58,-81.27,65.56,13.51
468,Valka,92,EE,1562654094,89,57.78,26.02,57.99,1.01
469,Labytnangi,100,RU,1562654095,62,66.66,66.39,48.64,4.74
470,Rio de Jesus,89,PA,1562654097,95,7.98,-81.16,72.76,0.94
471,Shache,89,CN,1562654098,15,38.42,77.24,91.66,2.86
472,Baiyin,40,CN,1562654100,59,36.55,104.13,66.2,6.71
473,Tupik,44,RU,1562654101,54,54.43,119.94,71.68,4.74
474,Srednekolymsk,0,RU,1562654102,27,67.46,153.71,79.78,12.33
475,Niquelandia,0,BR,1562654103,66,-14.47,-48.46,63.76,4.54
476,Taoudenni,0,ML,1562654105,19,22.68,-3.98,94.18,5.37
477,Galle,99,GN,1562654106,98,10.08,-12.83,70.06,1.16
478,Tatarsk,37,RU,1562654108,66,55.22,75.96,68.44,9.57
479,Lavrentiya,3,RU,1562654109,35,65.58,-170.99,68.26,4.68
480,Poronaysk,99,RU,1562654110,77,49.22,143.1,54.04,11.05
481,Uusikaupunki,90,FI,1562654112,81,60.8,21.41,57.0,6.93
482,Kutum,84,SD,1562654113,60,14.2,24.66,75.82,8.28
483,Altamira,66,BR,1562654114,99,-3.2,-52.21,69.88,0.54
484,Orhangazi,0,TR,1562654116,61,40.49,29.31,82.4,2.24
485,Bethel,90,US,1562654118,45,60.79,-161.76,87.8,4.7
486,Dolinsk,40,RU,1562654119,67,47.32,142.8,62.6,6.71
487,Turayf,0,SA,1562654120,39,31.68,38.65,82.4,9.17
488,Adrar,0,DZ,1562654122,12,27.87,-0.29,84.2,12.75
489,Tarakan,40,ID,1562654123,70,3.3,117.63,87.8,3.36
490,Luau,49,CD,1562654124,32,-10.7,22.23,56.74,3.2
491,Mazamari,53,PE,1562654126,82,-11.33,-74.53,32.98,2.82
492,San Juan,16,AR,1562654036,21,-31.54,-68.53,50.26,7.94
493,Seydi,0,NE,1562654128,94,13.34,7.75,75.2,4.7
494,Roald,20,NO,1562654130,81,62.58,6.12,55.99,10.29
495,Payo,4,ID,1562654131,56,-3.75,103.64,84.28,2.55
496,Port Blair,30,IN,1562654132,78,11.67,92.75,84.28,16.42
497,Richards Bay,37,ZA,1562654134,77,-28.77,32.06,65.56,7.9
498,Roanoke Rapids,90,US,1562654135,100,36.46,-77.65,73.99,4.7
499,Virginia Beach,75,US,1562653962,78,36.85,-75.98,75.99,6.93
500,Benguela,75,AO,1562654138,93,-12.58,13.4,64.4,1.77
501,Vila Velha,75,BR,1562654139,83,-3.71,-38.6,77.0,8.05
502,Auburn,1,US,1562654027,93,44.1,-70.23,64.0,4.5
503,Umm Kaddadah,71,SD,1562654142,59,13.6,26.69,80.5,8.32
504,Athabasca,100,CA,1562654143,98,54.72,-113.29,47.38,6.38
505,Puerto Narino,0,CO,1562654144,100,-3.77,-70.38,69.8,1.34
506,Hokitika,100,NZ,1562654146,77,-42.72,170.96,49.18,3.06
507,San Ignacio,38,PE,1562654147,96,-5.15,-79.0,55.3,0.96
508,Cedral,96,MX,1562654148,52,23.82,-100.72,70.96,4.32
509,Lasa,20,CY,1562654150,74,34.92,32.53,86.0,5.82
510,Ust-Karsk,78,RU,1562654151,39,52.71,118.82,76.72,7.63
511,Ebersbach,40,DE,1562654152,67,47.95,9.58,60.01,9.17
512,Shahrud,0,IR,1562654154,28,36.42,54.97,70.06,9.37
513,Berlevag,20,NO,1562654155,81,70.86,29.09,50.0,13.87
514,Okakarara,63,NA,1562654157,36,-20.59,17.46,41.8,9.48
515,Inta,57,RU,1562654158,49,66.04,60.13,57.82,7.2
516,Hervey Bay,40,AU,1562654159,53,-25.3,152.85,72.0,11.41
517,Los Llanos de Aridane,20,ES,1562654161,64,28.66,-17.92,69.8,9.17
518,Moerai,50,PF,1562654162,81,-22.43,-151.33,72.04,17.0
519,Salinopolis,53,BR,1562654163,78,-0.61,-47.36,81.04,13.56
520,Khao Yoi,40,TH,1562654165,66,13.24,99.82,89.6,10.29
521,Hopfgarten,20,DE,1562654166,76,50.99,11.22,57.0,12.75
522,Goundam,4,ML,1562654168,39,16.42,-3.66,86.8,11.54
523,Kandrian,57,PG,1562654169,66,-6.21,149.55,79.78,11.16
524,Skibbereen,75,IE,1562653901,87,51.55,-9.27,59.0,3.36
525,Manzhouli,17,CN,1562654172,40,49.6,117.43,78.16,8.57
526,Dudinka,75,RU,1562654173,66,69.41,86.18,53.6,22.37
527,Impfondo,40,CD,1562654174,86,1.62,18.06,72.22,2.51
528,Karabulak,89,KZ,1562654176,13,44.91,78.49,99.58,7.74
529,Neryungri,74,RU,1562654178,75,56.66,124.71,68.62,4.03
530,Marsa Matruh,0,EG,1562654179,94,31.35,27.25,75.2,8.05
531,Berezovka,100,RU,1562654180,95,55.71,42.61,58.36,6.78
532,Salekhard,100,RU,1562654182,50,66.54,66.62,56.02,2.53
533,Kropotkin,54,RU,1562654183,73,45.43,40.58,74.56,14.83
534,Chingirlau,0,KZ,1562654184,25,51.09,54.08,87.16,8.3
535,Cabedelo,40,BR,1562654185,100,-6.97,-34.84,71.6,4.7
536,Lucapa,0,AO,1562654187,28,-8.42,20.74,58.72,5.93
537,Sao Geraldo do Araguaia,24,BR,1562654188,96,-6.4,-48.55,70.06,3.71
